country,fc,fg,legsystem,legsyst2,legsyst3,region,year,context,type,inst,event,location,theme,theme2,origin,origin2,effect,effect2,further detail,
Barbados,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Belize,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Canada,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Chile,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Colombia,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Costa Rica,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Dominica,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
El Salvador,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Grenada,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Guatemala,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Haiti,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Honduras,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Mexico,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Nicaragua,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Panama,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Paraguay,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Peru,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Saint Kitts and Nevis,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Saint Lucia,,FALSE,Civil law,Common law,,Americas,,,,FALSE,,,,,,,,,,
Saint Vincent and the Grenadines,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Suriname,,FALSE,Civil law,,,Americas,,,,FALSE,,,,,,,,,,
Trinidad and Tobago,,FALSE,Common law,,,Americas,,,,FALSE,,,,,,,,,,
Bhutan,1,TRUE,Customary law,Common law,,"Asia (East, South) & Pacific",2008,Regime consolidation,Duty1,FALSE,Original text,Main text,Environment,Public finance,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/1Mqe9Scp0sWahOwpYUKNfAXNmG0OzZrTkZqeNWrdAyqg/edit#,
Maldives,1,TRUE,Muslim law,,,"Asia (East, South) & Pacific",2008,Crisis change,Duty1,FALSE,Original text,Main text,Environment,Natural resources,International influence,,Symbolic,,https://docs.google.com/document/d/18it6acatnXj7o7tNt9L-GwW3eFzmwMVHNdiPNqhfuCc/edit#,
East Timor,1,TRUE,Civil law,Muslim law,Customary law,"Asia (East, South) & Pacific",2002,Crisis change,Duty2,FALSE,Original text,Main text,Environment,Natural resources,International influence,,Symbolic,,https://docs.google.com/document/d/1V0vJ_uhT6XHAbX240TdoWenKMXsSW6cAt9vZPYQ_fvs/edit#,
Papua New Guinea,2,TRUE,Customary law,Common law,,"Asia (East, South) & Pacific",1975,Crisis change,Duty2,FALSE,Original text,Preamble,Natural resources,Environment,International influence,,Symbolic,Judicial,https://docs.google.com/document/d/1oHnPP6-30mypIVXzaVBU0PNoWyQAlDMsSGtkuK6yqqY/edit?usp=sharing,
Philippines,1,TRUE,Common law,Civil law,,"Asia (East, South) & Pacific",1987,Crisis change,Principle,FALSE,Original text,Preamble,Societal values,,Emulation,,,,,
South Korea,1,TRUE,Civil law,Customary law,,"Asia (East, South) & Pacific",1987,Non-crisis,Principle,FALSE,Amendment,Preamble,Societal values,,Emulation,,,,,
Fiji,1,TRUE,Common law,,,"Asia (East, South) & Pacific",2013,Crisis change,Right,FALSE,Original text,Main text,Environment,,International influence,,Symbolic,,https://docs.google.com/document/d/1HPeqgS4f2-WquySlh2xDE3KAbKkVAX4BL2UkRQkiixw/edit#,
Japan,1,TRUE,Civil law,Customary law,,"Asia (East, South) & Pacific",1946,Crisis change,Right,FALSE,Original text,Main text,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1khb5tibytVRerL8pxhKkzBOMEwZpjGmj6Z6hrnsXLd0/edit#,
Afghanistan,,FALSE,Muslim law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Australia,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Bangladesh,,FALSE,Muslim law,Common law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Brunei,,FALSE,Muslim law,Common law,Civil law,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Cambodia,,FALSE,Civil law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
China,,FALSE,Civil law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
India,,FALSE,Common law,Muslim law,Customary law,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Indonesia,,FALSE,Civil law,Muslim law,Customary law,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Kiribati,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Laos,,FALSE,Civil law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Malaysia,,FALSE,Muslim law,Common law,Customary law,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Marshall Islands,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Micronesia,,FALSE,Common law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Mongolia,,FALSE,Customary law,Civil law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Myanmar,,FALSE,Common law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Nepal,,FALSE,Common law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
New Zealand,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
North Korea,,FALSE,Civil law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Pakistan,,FALSE,Muslim law,Common law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Palau,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Samoa,,FALSE,Common law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Singapore,,FALSE,Common law,Muslim law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Solomon Islands,,FALSE,Common law,Customary law,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Sri Lanka,,FALSE,Civil law,Common law,Customary law,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Thailand,,FALSE,Civil law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Tonga,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Tuvalu,,FALSE,Common law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Vietnam,,FALSE,Civil law,,,"Asia (East, South) & Pacific",,,,FALSE,,,,,,,,,,
Nauru,,FALSE,Common law,,,East-Asia & Pacific,,,,FALSE,,,,,,,,,,
Albania,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1998,Crisis change,Duty1,FALSE,Original text,Main text,Environment,,International influence,Emulation,Symbolic,Agenda,https://docs.google.com/document/d/1lYAmIADeDuahc3191JfmNJ-dQaG7riardQR9-p9_NsI/edit,
Armenia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1995,Crisis change,Duty1,FALSE,Original text,Preamble and Main text,Environment,Natural resources,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/1ug5ErHJ7uK3OtrADmnxpqHjIOA9y1Rvg9PvbDcYHMPg/edit,
Georgia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1995,Crisis change,Duty1,FALSE,Original text,Main text,Environment,Natural resources,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/1xwJt9WZK9u0wrOqIWDwww-34MB62YE7NqjWVgCSpGik/edit#,
Poland,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1997,Crisis change,Duty1,FALSE,Original text,Preamble and Main text,Environment,Societal values,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/13DhjxDFUH04K44Q6Hc8nzlynNX1tVBhP7u_LunRtv7g/edit#heading=h.gnk0db11gdjr,
Hungary,1,TRUE,Civil law,,,Eastern Europe & Central Asia,2011,Crisis change,Duty1,TRUE,Original text,Preamble and Main text,Future generations,Natural resources,International influence,Emulation,Institutional transformation,Judicial,https://docs.google.com/document/d/14QPU6AlZEVWSNeCZTwN6YtRDndmWtSmhI_7Gu05fp-g/edit#heading=h.gnk0db11gdjr,
Azerbaijan,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1995,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,Emulation,Symbolic,,https://docs.google.com/document/d/1DVA7zi8EP0XnkFkwRoZdsKkINux-zDptVz_ExQlMofU/edit#heading=h.gnk0db11gdjr,
Czechia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,2002,Non-crisis,Principle,FALSE,Amendment,Preamble,Future generations,,International influence,Emulation,,,https://docs.google.com/document/d/1fWOwdiXh-9rKNqZB48BFXL1_T2iMNsPwdnsq01p0koo/edit#heading=h.7mvg00gb0tle,
Estonia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1992,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1TUgZ5wT3kykL3PW5tmzvdMCDYfL6lZvLfjgxRXqCQw0/edit#,
Kazakhstan,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1995,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1MIk2C9KrIVSZDEZXghhxtYpqtLk1eVe4woomxzS8a0w/edit#,
Latvia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,2014,Non-crisis,Principle,FALSE,Amendment,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1fKuk0KPae-2gkijWAjELejtjqbzGiznV-P0EdUIeL7g/edit#heading=h.gnk0db11gdjr,
Moldova,1,TRUE,Civil law,,,Eastern Europe & Central Asia,2006,Non-crisis,Principle,FALSE,Amendment,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1sbPxHl_y9BVIK3d_tHUkh4HNpCfYYjVJ5j8Q9ZKxR0o/edit#heading=h.gnk0db11gdjr,
North Macedonia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,2001,Non-crisis,Principle,FALSE,Amendment,Preamble,Societal values,,International influence,,Symbolic,,https://docs.google.com/document/d/1D5fY3p6vWNnNcZ7sWx5esLbnMN6IZPP1ZMOxtEE2xEY/edit#,
Russia,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1993,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1hTQ21DtjP4DViNqPovC1buXbDU-jvrlM0yK-DVU05P4/edit#,
Tajikistan,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1994,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1VL8w6wScBWIJ4GMX-02hAKGZ2m0NvjahK5wWx36Hzz4/edit#,
Ukraine,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1996,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/15rlZQ_1WkCydNcbv2rllvZz2rAYURSH3dJVAEvxG9LQ/edit#,
Uzbekistan,1,TRUE,Civil law,,,Eastern Europe & Central Asia,1992,Crisis change,Principle,FALSE,Original text,Preamble,Future generations,,International influence,,Symbolic,,https://docs.google.com/document/d/1bpapt89Qu1IUWHkeK2OuY1eLsdk6_uOq6Sg5UA6_Ysk/edit#heading=h.gnk0db11gdjr,
Belarus,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
Bosnia and Herzegovina,,FALSE,Civil law,,,Eastern Europe & Central Asia,,,,FALSE,,,,,,,,,,
